Men,Women,Total,Tendency
0,1,1,NA
1,5,6,NA
0,1,1,NA
2,5,7,NA
7,8,15,NA
49,127,176,women
6,3,9,NA
0,6,6,NA
0,1,1,NA
1,0,1,NA
5,4,9,NA
1,2,3,NA
0,3,3,NA
3,1,4,NA
0,2,2,NA
0,6,6,NA
1,4,5,NA
75,43,118,men
1,4,5,NA
1,0,1,NA
685,971,1656,women
0,2,2,NA
0,2,2,NA
1,4,5,NA
20,28,48,women
6,35,41,women
3,11,14,NA
6,7,13,NA
22,24,46,NA
200,213,413,NA
116,720,836,women
27,45,72,women
112,79,191,men
330,440,770,women
359,258,617,men
16,20,36,women
0,1,1,NA
3,5,8,NA
2,3,5,NA
4,18,22,NA
0,1,1,NA
4,9,13,NA
39,70,109,women
3,3,6,NA
33,260,293,women
12,26,38,women
21,24,45,NA
2,122,124,women
1,4,5,NA
1,0,1,NA
12,17,29,NA
155,157,312,NA
0,6,6,NA
1172,58,1230,men
5,12,17,NA
1605,35,1640,men
482,1452,1934,women
35,11,46,men
422,241,663,men
3,1041,1044,women
30,43,73,women
8,8,16,NA
1,1,2,NA
2436,3749,6185,women
0,1,1,NA
418,407,825,NA
210,325,535,women
271,447,718,women
139,178,317,women
91,109,200,NA
13,2,15,NA
10,0,10,NA
15,33,48,women
13,31,44,women
73,71,144,NA
53,27,80,men
27,51,78,women
114,251,365,women
95,95,190,NA
28,9,37,men
0,2,2,NA
0,10,10,NA
60,5,65,men
4,40,44,women
0,1,1,NA
0,3,3,NA
0,4,4,NA
0,3,3,NA
429,1538,1967,women
1,9,10,NA
110,111,221,NA
14,1,15,NA
14,2,16,NA
47,1,48,men
0,3,3,NA
0,10,10,NA
9,4,13,NA
13,28,41,women
31,4,35,men
6,26,32,women
6,0,6,NA
19,0,19,NA
26,60,86,women
13,0,13,NA
4,1,5,NA
0,1,1,NA
1,3,4,NA
1,0,1,NA
2,19,21,NA
1,0,1,NA
4,11,15,NA
5,9,14,NA
1,0,1,NA
1,2,3,NA
1,1,2,NA
2,1,3,NA
5,4,9,NA
44,74,118,women
236,279,515,NA
3,7,10,NA
85,141,226,women
1,1,2,NA
14,20,34,women
6,2,8,NA
19,43,62,women
45,27,72,men
2,2,4,NA
0,1,1,NA
0,2,2,NA
3,6,9,NA
0,1,1,NA
1,1,2,NA
0,1,1,NA
0,1,1,NA
0,3,3,NA
0,1,1,NA
6,1,7,NA
0,3,3,NA
58,11,69,men
0,5,5,NA
0,12,12,NA
5,24,29,NA
1,0,1,NA
2,0,2,NA
1,1,2,NA
1,2,3,NA
7,43,50,women
14,14,28,NA
64,53,117,NA
39,33,72,NA
14,3,17,NA
30,54,84,women
4,2,6,NA
2,7,9,NA
13,7,20,NA
1,2,3,NA
1,8,9,NA
0,2,2,NA
7,20,27,NA
27,15,42,men
2,5,7,NA
12,21,33,women
24,30,54,women
26,30,56,NA
15,16,31,NA
2,3,5,NA
5,5,10,NA
7,16,23,NA
9,16,25,NA
10,2,12,NA
0,1,1,NA
2,5,7,NA
0,1,1,NA
0,1,1,NA
4,5,9,NA
0,1,1,NA
1,2,3,NA
0,4,4,NA
56,30,86,men
4,1,5,NA
4,2,6,NA
15,19,34,women
0,1,1,NA
0,4,4,NA
41,80,121,women
0,1,1,NA
0,1,1,NA
0,2,2,NA
47,70,117,women
16,40,56,women
